order_id,created_at,customer_id,region,amount,status,return_flag
ORD-100014,2025-07-03 13:04:05,CUST-01021,north,175.09,Completed,false
ORD-100074,2025-07-22 04:12:57,CUST-01013,south,959.13,Completed,false
ORD-100087,2025-08-17 17:34:03,CUST-01054,east,909.27,Completed,false
ORD-100011,2025-07-09 07:17:52,CUST-01048,east,111.72,Completed,false
ORD-100093,2025-09-01 08:53:28,CUST-01047,west,758.58,Completed,false
ORD-100030,2025-08-10 00:29:33,CUST-01025,west,659.65,Completed,false
ORD-100053,2025-07-07 16:10:50,CUST-01029,south,418.33,Completed,false
ORD-100142,2025-08-01 14:09:53,CUST-01020,east,568.90,Completed,true
ORD-100109,2025-09-02 19:56:41,CUST-01013,north,291.63,Completed,false
ORD-100013,2025-07-09 14:32:33,CUST-01018,south,761.57,Completed,false
ORD-100019,2025-09-08 16:44:00,CUST-01042,central,908.62,Completed,false
ORD-100168,2025-09-10 13:04:38,CUST-01055,west,TBD,Completed,false
ORD-100165,2025-07-31 15:37:30,CUST-01018,east,n/a,Completed,false
ORD-100017,2025-07-26 09:07:07,CUST-01040,west,863.68,Completed,false
ORD-100102,2025-07-23 08:49:02,CUST-01029,west,680.57,Completed,false
ORD-100014,2025-09-13 02:24:40,CUST-01018,central,566.20,Completed,false
ORD-100145,2025-07-19 04:33:16,CUST-01007,north,258.24,Completed,true
ORD-100106,2025-09-28 07:14:52,CUST-01054,west,338.49,Completed,false
ORD-100081,2025-08-02 19:33:52,CUST-01043,south,125.73,Completed,false
ORD-100131,2025-05-10 12:31:54,CUST-01026,central,300.52,Completed,false
ORD-100157,,CUST-01023,north,230.19,Completed,false
ORD-100044,2025-09-24 17:45:21,CUST-01057,west,38.48,Completed,false
ORD-100123,2025-05-18 07:45:15,CUST-01052,central,337.63,Completed,false
ORD-100059,2025-07-06 04:03:07,CUST-01040,central,139.23,Completed,false
ORD-100079,2025-07-24 17:22:17,CUST-01020,east,498.82,Completed,false
ORD-100097,2025-09-14 02:23:18,CUST-01048,east,331.02,Completed,false
ORD-100118,2025-09-25 21:55:30,CUST-01021,east,467.70,Completed,false
ORD-100159,not-a-date,CUST-01047,south,432.72,Completed,false
ORD-100140,2025-08-18 13:08:30,CUST-01059,east,218.12,Completed,true
ORD-100126,2025-04-21 13:28:54,CUST-01024,west,68.10,Completed,false
ORD-100149,2025-07-29 19:57:43,CUST-01003,west,325.09,Pending,false
ORD-100002,2025-07-08 14:26:15,CUST-01006,central,248.42,Completed,false
ORD-100116,2025-07-28 21:40:35,CUST-01016,south,217.78,Completed,false
ORD-100022,2025-09-24 05:29:08,CUST-01011,north,605.89,Completed,false
ORD-100028,2025-08-10 21:54:52,CUST-01020,east,687.75,Completed,false
ORD-100061,2025-09-28 21:50:34,CUST-01042,central,264.89,Completed,false
ORD-100070,2025-08-26 09:30:42,CUST-01008,west,419.58,Completed,false
ORD-100005,2025-07-22 18:29:40,CUST-01035,north,435.53,Completed,false
ORD-100033,2025-07-21 07:39:16,CUST-01030,south,784.19,Completed,false
ORD-100148,2025-07-27 08:54:31,CUST-01016,east,184.42,Pending,false
ORD-100095,2025-09-22 13:46:55,CUST-01044,central,865.66,Completed,false
ORD-100130,2025-06-21 05:03:31,CUST-01045,east,146.49,Completed,false
ORD-100135,2025-04-25 01:29:44,CUST-01017,east,272.74,Completed,false
ORD-100103,2025-08-23 10:09:46,CUST-01024,east,452.72,Completed,false
ORD-100084,2025-07-01 11:23:57,CUST-01030,north,471.21,Completed,false
ORD-100136,2025-07-05 00:47:46,CUST-01048,west,142.76,Completed,true
ORD-100037,2025-08-29 02:26:21,CUST-01040,east,163.18,Completed,false
ORD-100048,2025-08-26 21:02:00,CUST-01003,central,733.68,Completed,false
ORD-100043,2025-09-17 17:33:30,CUST-01034,east,341.24,Completed,false
ORD-100046,2025-09-28 21:35:06,CUST-01043,north,700.74,Completed,false
ORD-100154,not-a-date,CUST-01013,north,331.87,Completed,false
ORD-100069,2025-09-20 09:02:00,CUST-01048,south,561.37,Completed,false
ORD-100023,2025-09-18 18:41:48,CUST-01017,south,227.09,Completed,false
ORD-100045,2025-08-22 17:44:49,CUST-01053,south,623.28,Completed,false
ORD-100006,2025-08-17 18:33:34,CUST-01042,north,598.02,Completed,false
ORD-100092,2025-07-31 04:10:45,CUST-01035,central,360.88,Completed,false
ORD-100158,n/a,CUST-01022,west,508.75,Completed,false
ORD-100117,2025-09-29 15:43:29,CUST-01023,south,548.75,Completed,false
ORD-100064,2025-09-24 20:11:00,CUST-01047,west,639.92,Completed,false
ORD-100137,2025-09-12 20:26:08,CUST-01030,east,154.84,Completed,true
ORD-100057,2025-07-11 10:00:16,CUST-01045,east,449.16,Completed,false
ORD-100082,2025-07-17 08:15:52,CUST-01005,central,576.52,Completed,false
ORD-100138,2025-08-06 09:19:27,CUST-01045,east,199.33,Completed,true
ORD-100035,2025-09-04 11:04:23,CUST-01000,east,170.51,Completed,false
ORD-100018,2025-07-11 21:22:02,CUST-01044,south,482.32,Completed,false
ORD-100143,2025-08-17 01:17:38,CUST-01033,north,278.74,Completed,true
ORD-100170,2025-09-27 18:42:58,CUST-01027,east,n/a,Completed,false
ORD-100099,2025-07-24 01:26:46,CUST-01056,east,185.30,Completed,false
ORD-100080,2025-07-30 17:38:17,CUST-01051,west,229.05,Completed,false
ORD-100032,2025-07-09 03:47:57,CUST-01057,east,222.07,Completed,false
ORD-100069,2025-08-11 16:10:16,CUST-01048,central,55.61,Completed,false
ORD-100016,2025-09-17 22:31:12,CUST-01041,west,799.56,Completed,false
ORD-100036,2025-08-17 13:28:51,CUST-01019,south,250.87,Completed,false
ORD-100091,2025-08-23 11:54:27,CUST-01038,east,756.82,Completed,false
ORD-100144,2025-09-08 20:00:09,CUST-01044,west,248.06,Completed,true
ORD-100024,2025-07-11 18:35:48,CUST-01059,west,158.15,Completed,false
ORD-100065,2025-09-15 11:06:31,CUST-01005,west,182.99,Completed,false
ORD-100133,2025-04-01 17:01:51,CUST-01019,central,106.22,Completed,false
ORD-100108,2025-08-31 01:27:30,CUST-01000,west,880.15,Completed,false
ORD-100124,2025-06-15 20:48:21,CUST-01055,south,391.55,Completed,false
ORD-100129,2025-06-14 11:01:51,CUST-01016,north,492.42,Completed,false
ORD-100027,2025-08-26 05:39:33,CUST-01054,south,50.30,Completed,false
ORD-100001,2025-09-15 09:23:27,CUST-01002,west,583.24,Completed,false
ORD-100085,2025-08-20 11:09:56,CUST-01003,central,202.35,Completed,false
ORD-100039,2025-08-07 00:17:12,CUST-01010,south,743.66,Completed,false
ORD-100098,2025-07-23 06:07:49,CUST-01026,east,554.95,Completed,false
ORD-100146,2025-09-05 02:30:21,CUST-01058,north,379.14,Pending,false
ORD-100088,2025-09-19 01:43:09,CUST-01048,east,438.23,Completed,false
ORD-100020,2025-09-22 08:55:00,CUST-01005,south,540.74,Completed,false
ORD-100057,2025-07-15 11:20:57,CUST-01003,south,719.34,Completed,false
ORD-100090,2025-09-18 12:06:40,CUST-01045,east,408.62,Completed,false
ORD-100110,2025-07-28 15:04:05,CUST-01054,north,194.73,Completed,false
ORD-100068,2025-09-22 23:03:45,CUST-01002,west,547.16,Completed,false
ORD-100047,2025-07-11 06:11:01,CUST-01017,north,414.49,Completed,false
ORD-100052,2025-07-26 22:41:38,CUST-01050,east,93.24,Completed,false
ORD-100006,2025-08-30 19:49:55,CUST-01015,central,293.53,Completed,false
ORD-100112,2025-09-14 02:30:16,CUST-01050,west,577.46,Completed,false
ORD-100032,2025-07-01 00:26:47,CUST-01056,east,349.10,Completed,false
ORD-100012,2025-09-22 04:34:26,CUST-01039,east,931.08,Completed,false
ORD-100125,2025-05-27 22:00:40,CUST-01013,west,117.25,Completed,false
ORD-100052,2025-09-17 21:10:41,CUST-01020,south,114.89,Completed,false
ORD-100054,2025-07-19 01:31:44,CUST-01015,central,325.34,Completed,false
ORD-100101,2025-07-11 10:08:11,CUST-01012,north,822.18,Completed,false
ORD-100007,2025-07-15 08:54:19,CUST-01042,north,574.03,Completed,false
ORD-100104,2025-08-21 19:30:47,CUST-01038,central,14.85,Completed,false
