user_id,arm,device_type,session_date,converted,revenue
U02112,control,desktop,2025-09-23,False,0.0
U01519,control,mobile,2025-09-05,False,0.0
U01023,control,desktop,2025-09-01,False,0.0
U01824,treatment,desktop,2025-09-22,False,0.0
U02114,treatment,desktop,2025-09-07,True,72.44
U01450,control,desktop,2025-09-23,False,0.0
U01927,treatment,mobile,2025-09-04,False,0.0
U01409,control,desktop,2025-09-09,False,0.0
U01197,control,mobile,2025-09-14,False,0.0
U01180,control,desktop,2025-09-14,False,0.0
U01146,control,mobile,2025-09-26,False,0.0
U01579,treatment,mobile,2025-09-21,False,0.0
U01867,treatment,mobile,2025-09-09,False,0.0
U01668,treatment,mobile,2025-09-29,False,0.0
U01947,treatment,desktop,2025-09-22,False,0.0
U02048,treatment,mobile,2025-09-28,False,0.0
U01407,control,desktop,2025-09-16,False,0.0
U01539,control,mobile,2025-09-30,False,0.0
U01816,treatment,desktop,2025-09-29,False,0.0
U02104,control,mobile,2025-09-25,False,0.0
U01327,control,mobile,2025-09-23,False,0.0
U01313,control,mobile,2025-09-05,False,0.0
U01265,control,mobile,2025-09-14,False,0.0
U01994,treatment,mobile,2025-09-08,False,0.0
U02144,treatment,desktop,2025-09-07,True,-3.25
U01250,control,mobile,2025-09-23,False,0.0
U01894,treatment,mobile,2025-09-07,False,0.0
U01237,control,mobile,2025-09-29,True,51.87
U01070,control,mobile,2025-09-22,False,0.0
U02037,treatment,mobile,2025-09-15,True,17.77
U01891,treatment,mobile,2025-09-19,False,0.0
U01659,treatment,mobile,2025-09-21,False,0.0
U01803,treatment,desktop,2025-09-05,False,0.0
U01856,treatment,mobile,2025-09-19,False,0.0
U01669,treatment,mobile,2025-09-12,False,0.0
U02100,treatment,mobile,2025-09-08,False,0.0
U01817,treatment,mobile,2025-09-09,True,40.28
U01834,treatment,desktop,2025-09-24,False,0.0
U02101,control,mobile,2025-09-03,False,0.0
U02120,treatment,mobile,2025-09-29,True,42.54
U01064,control,mobile,2025-09-23,False,0.0
U01683,treatment,desktop,2025-09-16,False,0.0
U01971,treatment,mobile,2025-09-12,False,0.0
U02067,treatment,desktop,2025-09-06,False,0.0
U01951,treatment,desktop,2025-09-17,True,70.08
U01478,control,mobile,2025-09-25,False,0.0
U01557,treatment,mobile,2025-09-25,False,0.0
U01837,treatment,mobile,2025-09-11,False,0.0
U01924,treatment,desktop,2025-09-05,False,0.0
U01330,control,mobile,2025-09-20,False,0.0
U02001,treatment,desktop,2025-09-19,False,0.0
U01922,treatment,mobile,2025-09-02,True,36.24
U02003,treatment,mobile,2025-09-26,False,0.0
U01870,treatment,mobile,2025-09-11,False,0.0
U01686,treatment,mobile,2025-09-05,False,0.0
U01261,control,mobile,2025-09-19,False,0.0
U01141,control,mobile,2025-09-23,False,0.0
U02119,treatment,mobile,2025-09-02,True,73.39
U02058,treatment,desktop,2025-09-04,False,0.0
U01229,control,mobile,2025-09-14,False,0.0
U01508,control,desktop,2025-09-01,False,0.0
U01272,control,desktop,2025-09-08,False,0.0
U01548,control,mobile,2025-09-14,False,0.0
U01801,treatment,desktop,2025-09-17,False,0.0
U01196,control,mobile,2025-09-11,False,0.0
U01186,control,desktop,2025-09-17,False,0.0
U02102,treatment,mobile,2025-09-15,True,49.1
U01500,control,mobile,2025-09-29,False,0.0
